On Board Computer,,,,,,,
Qty,Value,Parts,Device,Package,Description,Mouser Electronics,Digikey
2,VLMY1300-GS08,"CR1, CR2",VLMY1300-GS08,LEDC1608X100N,Yellow LED,78-VLMY1300-GS08,
1,SP712-02HTG,CR3,SP712-02HTG,SOT23-3_LTF,ESD/TVS protection Diode,576-SP712-02HTG ,
3,SP3004-04XTG,"D1, D2, D3",SP3004-04XTG,SOT563_LTF,ESD/TVS protection Diode,576-SP3004-04XTG ,
1,PMEG2010ER,D4,PMEG2010ER,SODFL3517X110N,Nexperia Schottky Diode ,771-PMEG2010ER115,
1,ESD122DMYR,D5,ESD122DMYR,DIO_ESD122DMYR,ESD/TVS protection Diode,595-ESD122DMYR,
1,ADFC15-2450.00-A-T,FL1,ADFC15-2450.00-A-T,FIL_ADFC15-2450.00-A-T,2.45GHz Bandpass Filter,815-ADFC15-2450-AT ,
1,NSVT30010MXV6T1G,IC1,NSVT30010MXV6T1G,SOT-563_1P3X1P7_ONS,Dual BJT PNP,863-NSVT30010MXV6T1G,
1,BC846BLT1G,IC2,BC846BLT1G,SOT96P237X111-3N,BJT NPN Transistor,863-BC846BLT1G,
1,RP2040,MCU1,RP2040,QFN56_7X7_RPI,RP2040,358-SC091413 ,
1,PKMCS0909E4000-R1,LS1,PKMCS0909E4000-R1,SPKR_PKMCS0909E4000-R1,Piezoelectric Buzzer,81-PKLCS1212E20A0-R1,
1,SX1280IMLTRT,U1,SX1280IMLTRT,QFN24_4X4_SEM,2.4GHz LoRa radio transceiver,947-SX1280IMLTRT ,
1,STLM20DD9F,U2,STLM20DD9F,UDFN-4L_STM,Analog Temperature Sensor,511-STLM20DD9F ,
1,NRF21540-QDAA-R,U3,NRF21540-QDAA-R,QFN16_4X4_NOR,RF Range Extender FEM,949-NRF21540-QDAA-R ,
1,VLMKG3400-GS08,U5,VLMKG3400-GS08,SMT_00-GS08_VIS,BiColor Red/Green LED PLCC4,78-VLMKG3400-GS08 ,
1,W25Q128JVSIQ TR,U6,W25Q128JVSIQ TR,SOIC_208MIL_WIN,Windbond NOR Flash 16MB,454-W25Q128JVSIQTR ,
1,ST1L05APU33R,U7,ST1L05APU33R,DFN_5APU33R_STM,ST Voltage Regulator LDO 5V to 3.3V, 511-ST1L05APU33R,
1,ISO1410BDW,U12,ISO1410BDW,DW0016B_N,Galvanically Isolated RS-485 Half-Duplex Transceiver ,595-ISO1410BDW ,
1,UCC12050DVE,U14,UCC12050DVE,DVE0016A,Galvanically Isolated 5V DC-DC Converter,595-UCC12050DVE ,
1,CS07103-52M,XTAL1,CS07103-52M,OSCCC200X160X50N,Crystal 52MHz,,644-CS07103-52MDKR-ND
1,ASE-12.000MHZ-LC-T,XTAL2,ASE-12.000MHZ-LC-T,ASE24576MHZLCT,Clock Oscilator,815-ASE12.000MHZLCT ,
22,100nF,"C5, C6, C9, C10, C17, C18, C20, C23, C25, C26, C28, C29, C30, C31, C32, C33, C35, C36, C37, C40, C42, C43",GPC0402104-16,C0402,CAPACITOR,,
5,1uF,"C4, C22, C24, C27, C34",GPC0402105-16,C0402,CAPACITOR,,
2,10nF,"C1, C3",GPC0402103-16,C0402,CAPACITOR,,
2,470nF,"C7, C41",GPC0402474-25,C0402,CAPACITOR,,
1,1pF,C15,GPC04021R0,C0402,CAPACITOR,,
1,0.9pF,C19,GRM1555C1ER90BA01D,C0402,CAPACITOR, 81-GRM1555C1ER90BA1D,
1,0.3pF,C21,GRM1555C2AR30BA01D,C0402,CAPACITOR,81-GRM1555C2AR30BA1D ,
2,4.7uF,"C2, C38",GPC0603475-10,C0603,CAPACITOR,,
3,10uF,"C12, C16, C39",GPC0805106-16,C0805,CAPACITOR,,
1,300pF,C8,C1808C331JZGACTU ,C1808,CAPACITOR,80-C1808C331JZG ,
4,1k,"R1, R15, R20, R24",GPR04021K,R0402,RESISTOR,,
2,27,"R16, R17",GPR040227R,R0402,RESISTOR,,
2,100,"R18, R19",GPR0402100R,R0402,RESISTOR,,
2,5k1,"R22, R23",GPR04025K1,R0402,RESISTOR,,
1,100K,R10,GPR0402100K,R0402,RESISTOR,,
1,10k,R21,GPR040210K,R0402,RESISTOR,,
1,36k,R25,GPR040236K,R0402,RESISTOR,,
2,100,"R4, R5",GPR0603100R,R0603,RESISTOR,,
2,1k,"R6, R7",GPR06031K,R0603,RESISTOR,,
1,62,R13,GPR060362R,R0603,RESISTOR,,
1,150,R14,GPR0603150R,R0603,RESISTOR,,
1,120,R55,GPR0603120R,R0603,RESISTOR,,
1,15uH,L1,B82422H1153K000 ,L0805,INDUCTOR,871-B82422H1153K ,
1,1.9nH,L4,LQW03AW1N9C00D ,L0201,INDUCTOR,81-LQW03AW1N9C00D,
1,1718560006,J1,1718560006,CONN06_1718560006_MOL,Vertical PCB Header 6 Circuits with Friction Lock,538-171856-0006,
1,215932-0270,J2,215932-0270,2159320270,Pitch Mini-Lock PCB Header Single Row Right-Angle SMT 2 Circuits ,538-215932-0270 ,
1,MEM2061-01-188-00-A_REVA,J3,MEM2061-01-188-00-A_REVA,GCT_MEM2061-01-188-00-A_REVA,MicroSD Card Slot connector,640-MEM20610118800A ,
1,PCB.RPSMAFRA.HT,J4,PCB.RPSMAFRA.HT,PCBRPSMAFRAHT,RP-SMA Female PCB connector,960-PCB.RPSMAFRA.HT,
1,BM03B-SRSS-TBLFSN,J5,BM03B-SRSS-TBLFSN,CONN_BM03B-SRSS-TBLFSN_JST,SWD Connector,306-BM03BSRSSTBLFSNP ,
1,DX07S016JA1R1500,J6,DX07S016JA1R1500,JAE_DX07S016JA1R1500,USB-C receptacle,656-DX07S016JA1R1500 ,
4,S0981-46R,"J7, J8, J9, J10",S0981-46R,HARWIN_S0981-46R,EMI Shield Clips,855-S0991-46R ,
1,S01-30300500,S1,S01-30300500 ,RFI Shield 30x30,RFI/EMI Shield Gasket,855-S01-30300500 ,